# IP addresses taken from the NSO list generated by Amnesty from https://raw.githubusercontent.com/AmnestyTech/investigations/master/2018-08-01_nso/indicators.csv
# "Number","IP address","Rating", "Description"
"398","38.84.132.168","100","NSO IP by Amnesty"
"399","8.28.175.78","100","NSO IP by Amnesty"
"400","5.102.145.169","100","NSO IP by Amnesty"
"401","185.106.120.246","100","NSO IP by Amnesty"
"402","200.7.97.213","100","NSO IP by Amnesty"
"403","109.200.24.32","100","NSO IP by Amnesty"
"404","173.254.248.115","100","NSO IP by Amnesty"
"405","185.225.68.132","100","NSO IP by Amnesty"
"406","5.102.145.12","100","NSO IP by Amnesty"
"407","185.225.68.134","100","NSO IP by Amnesty"
"408","5.102.147.13","100","NSO IP by Amnesty"
"409","37.220.31.107","100","NSO IP by Amnesty"
"410","88.150.227.125","100","NSO IP by Amnesty"
"411","200.7.105.39","100","NSO IP by Amnesty"
"412","185.225.68.60","100","NSO IP by Amnesty"
"413","185.117.89.198","100","NSO IP by Amnesty"
"414","5.102.147.162","100","NSO IP by Amnesty"
"415","109.200.24.104","100","NSO IP by Amnesty"
"416","185.225.68.69","100","NSO IP by Amnesty"
"417","46.21.147.173","100","NSO IP by Amnesty"
"418","5.104.105.200","100","NSO IP by Amnesty"
"419","185.225.68.127","100","NSO IP by Amnesty"
"420","78.142.25.37","100","NSO IP by Amnesty"
"421","87.121.98.38","100","NSO IP by Amnesty"
"422","176.223.111.206","100","NSO IP by Amnesty"
"423","185.144.83.116","100","NSO IP by Amnesty"
"424","188.40.155.240","100","NSO IP by Amnesty"
"425","185.195.200.56","100","NSO IP by Amnesty"
"426","5.149.255.3","100","NSO IP by Amnesty"
"427","154.16.37.105","100","NSO IP by Amnesty"
"428","185.144.83.114","100","NSO IP by Amnesty"
"429","200.7.111.154","100","NSO IP by Amnesty"
"430","5.149.250.19","100","NSO IP by Amnesty"
"431","5.149.255.16","100","NSO IP by Amnesty"
"432","5.102.147.138","100","NSO IP by Amnesty"
"433","46.183.221.149","100","NSO IP by Amnesty"
"434","91.219.28.21","100","NSO IP by Amnesty"
"435","92.222.208.251","100","NSO IP by Amnesty"
"436","5.149.249.19","100","NSO IP by Amnesty"
"437","200.7.111.102","100","NSO IP by Amnesty"
"438","185.29.11.203","100","NSO IP by Amnesty"
"439","149.255.36.132","100","NSO IP by Amnesty"
"440","5.102.145.99","100","NSO IP by Amnesty"
"441","5.102.145.17","100","NSO IP by Amnesty"
"442","200.7.98.117","100","NSO IP by Amnesty"
"443","185.29.11.200","100","NSO IP by Amnesty"
"444","88.150.189.121","100","NSO IP by Amnesty"
"445","5.149.249.189","100","NSO IP by Amnesty"
"446","88.119.179.105","100","NSO IP by Amnesty"
"447","185.117.75.165","100","NSO IP by Amnesty"
"448","185.94.192.101","100","NSO IP by Amnesty"
"449","84.38.130.107","100","NSO IP by Amnesty"
"450","66.85.157.71","100","NSO IP by Amnesty"
"451","103.199.16.47","100","NSO IP by Amnesty"
"452","84.200.32.211","100","NSO IP by Amnesty"
"453","38.132.118.110","100","NSO IP by Amnesty"
"454","109.200.24.7","100","NSO IP by Amnesty"
"455","5.102.145.90","100","NSO IP by Amnesty"
"456","5.149.254.2","100","NSO IP by Amnesty"
"457","88.150.138.99","100","NSO IP by Amnesty"
"458","5.102.146.59","100","NSO IP by Amnesty"
"459","185.82.200.143","100","NSO IP by Amnesty"
"460","88.150.138.85","100","NSO IP by Amnesty"
"461","188.215.229.215","100","NSO IP by Amnesty"
"462","38.132.118.107","100","NSO IP by Amnesty"
"463","185.225.68.75","100","NSO IP by Amnesty"
"464","176.223.111.137","100","NSO IP by Amnesty"
"465","185.82.200.164","100","NSO IP by Amnesty"
"466","94.177.234.8","100","NSO IP by Amnesty"
"467","185.195.200.44","100","NSO IP by Amnesty"
"468","88.150.189.111","100","NSO IP by Amnesty"
"469","95.213.193.40","100","NSO IP by Amnesty"
"470","89.33.246.119","100","NSO IP by Amnesty"
"471","37.220.31.46","100","NSO IP by Amnesty"
"472","185.225.68.64","100","NSO IP by Amnesty"
"473","37.72.175.179","100","NSO IP by Amnesty"
"474","109.200.24.14","100","NSO IP by Amnesty"
"475","185.195.200.46","100","NSO IP by Amnesty"
"476","46.21.147.237","100","NSO IP by Amnesty"
"477","185.94.191.59","100","NSO IP by Amnesty"
"478","52.54.37.95","100","NSO IP by Amnesty"
"479","89.249.65.148","100","NSO IP by Amnesty"
"480","109.200.24.18","100","NSO IP by Amnesty"
"481","37.220.31.108","100","NSO IP by Amnesty"
"482","185.117.72.117","100","NSO IP by Amnesty"
"483","200.7.111.125","100","NSO IP by Amnesty"
"484","109.200.24.20","100","NSO IP by Amnesty"
"485","45.76.42.111","100","NSO IP by Amnesty"
"486","46.21.147.21","100","NSO IP by Amnesty"
"487","185.183.96.131","100","NSO IP by Amnesty"
"488","185.183.96.131","100","NSO IP by Amnesty"
"489","5.102.145.39","100","NSO IP by Amnesty"
"490","159.89.193.231","100","NSO IP by Amnesty"
"491","200.7.97.225","100","NSO IP by Amnesty"
"492","185.225.68.86","100","NSO IP by Amnesty"
"493","89.33.246.118","100","NSO IP by Amnesty"
"494","185.198.58.182","100","NSO IP by Amnesty"
"495","217.112.131.109","100","NSO IP by Amnesty"
"496","185.225.68.65","100","NSO IP by Amnesty"
"497","5.102.145.248","100","NSO IP by Amnesty"
"498","185.94.189.219","100","NSO IP by Amnesty"
"499","185.93.183.231","100","NSO IP by Amnesty"
"500","191.101.31.222","100","NSO IP by Amnesty"
"501","185.198.58.154","100","NSO IP by Amnesty"
"502","88.119.179.169","100","NSO IP by Amnesty"
"503","185.80.53.199","100","NSO IP by Amnesty"
"504","217.112.131.67","100","NSO IP by Amnesty"
"505","185.183.96.150","100","NSO IP by Amnesty"
"506","185.117.89.145","100","NSO IP by Amnesty"
"507","109.200.24.66","100","NSO IP by Amnesty"
"508","209.250.247.96","100","NSO IP by Amnesty"
"509","5.149.248.27","100","NSO IP by Amnesty"
"510","185.225.68.61","100","NSO IP by Amnesty"
"511","81.95.5.168","100","NSO IP by Amnesty"
"512","185.156.173.104","100","NSO IP by Amnesty"
"513","217.64.113.250","100","NSO IP by Amnesty"
"514","185.225.68.199","100","NSO IP by Amnesty"
"515","185.183.107.49","100","NSO IP by Amnesty"
"516","185.225.68.203","100","NSO IP by Amnesty"
"517","185.230.124.228","100","NSO IP by Amnesty"
"518","185.225.68.160","100","NSO IP by Amnesty"
"519","88.150.138.83","100","NSO IP by Amnesty"
"520","88.119.179.156","100","NSO IP by Amnesty"
"521","185.94.191.14","100","NSO IP by Amnesty"
